condicion,actor_id,turno,tipologia,n_palabras_chunks,n_palabras_respuesta,conflict_vocab_density_response,conflict_vocab_count,conflict_vocab_words_response,rag_transfer_limpio,rag_transfer_lexical,rag_transfer_eufemismos,rag_transfer_expresiones,top_k_similarity,scores_por_chunk,role_purity,n_docs_total,n_docs_rol,usado_fallback,lexical_diversity
baseline,victima,11,confrontativa,0,312,0.0897,19,armado|armados|comunidad|comunidades|conflicto|creo|cultivos|grupos|importante|mal|oportunidad|paz|problema|rio|social|territorio|tierra|violencia|vivir,,,,,,,,,,,
baseline,victima,12,confrontativa,0,298,0.0906,19,armado|armados|comunidad|comunidades|conflicto|cualquier|gente|grupos|importante|miedo|paz|personas|problema|social|verdad|violencia|vive|vivido|vivir,,,,,,,,,,,
baseline,victima,13,abierta,0,309,0.0615,11,comunidad|comunidades|conflicto|paso|paz|rio|social|temor|verdad|vivido|vivir,,,,,,,,,,,
baseline,victimario,1,abierta,0,193,0.0363,10,arma|armado|comunidad|conflicto|enemigo|grupo|proceso|toma|unidad|violencia,,,,,,,,,,,
baseline,victimario,2,abierta,0,203,0.0345,10,arma|armado|conflicto|grupo|momento|proceso|reclutamiento|toma|unidad|violencia,,,,,,,,,,,
baseline,victimario,3,cerrada,0,159,0.0377,12,civil|combatiente|combatientes|comunidad|conflicto|enfrentamiento|mando|momento|operacion|operaciones|toma|unidad,,,,,,,,,,,
baseline,victimario,4,abierta,0,212,0.0566,15,ataque|civil|comunidad|conflicto|entrenamiento|gente|grupo|momento|operacion|operaciones|patrulla|proceso|pueblo|toma|unidad,,,,,,,,,,,
baseline,victimario,5,abierta,0,233,0.0515,14,arma|armado|civil|comunidad|familia|fuerza|grupo|grupos|momento|proceso|toma|unidad|violencia|zona,,,,,,,,,,,
baseline,victimario,6,abierta,0,240,0.0417,11,civil|comunidad|conflicto|enemigo|frente|grupo|guerra|operacion|operaciones|pueblo|unidad,,,,,,,,,,,
baseline,victimario,7,confrontativa,0,226,0.0354,9,comunidad|conflicto|grupo|mando|momento|proceso|toma|unidad|violencia,,,,,,,,,,,
baseline,victimario,8,abierta,0,218,0.0275,12,combatiente|combatientes|comunidad|conflicto|desplazamiento|excombatientes|momento|paz|proceso|toma|unidad|violencia,,,,,,,,,,,
baseline,victimario,9,confrontativa,0,195,0.0205,8,comunidad|mando|operacion|operaciones|paz|proceso|toma|unidad,,,,,,,,,,,
baseline,victimario,10,abierta,0,229,0.0218,6,comunidad|conflicto|momento|proceso|unidad|violencia,,,,,,,,,,,
baseline,victimario,11,confrontativa,0,218,0.0229,6,combatiente|combatientes|conflicto|excombatientes|paz|proceso,,,,,,,,,,,
baseline,victimario,12,abierta,0,286,0.035,8,civil|combatiente|comunidad|conflicto|gente|momento|proceso|unidad,,,,,,,,,,,
baseline,victimario,13,abierta,0,248,0.0202,4,comunidad|proceso|toma|unidad,,,,,,,,,,,
bdi_only,tercero,1,cerrada,0,283,0.0601,20,ciudad|comunidad|comunidades|conflicto|conoci|desplazamiento|estado|institucion|justicia|masacre|memoria|miedo|papel|paz|presencia|rio|social|sociales|violencia|zona,,,,,,,,,,,
bdi_only,tercero,2,abierta,0,320,0.075,26,accion|amenazas|armado|armados|comunidad|comunidades|conflicto|conoci|cultivos|cultura|familia|gente|grupos|impacto|llega|memoria|miedo|mil|pais|paz|presencia|rio|social|trabajo|vereda|violencia,,,,,,,,,,,
bdi_only,tercero,3,abierta,0,336,0.1131,28,actores|amenazas|armado|armados|armas|comunidad|conflicto|conoci|control|decision|grupos|guerrilla|guerrilleros|justicia|llega|memoria|miedo|mil|militar|militares|movimiento|paramilitares|presencia|rio|social|sociales|territorio|violencia,,,,,,,,,,,
bdi_only,tercero,4,abierta,0,352,0.0767,29,accion|actores|amenazas|armado|armados|civil|comunidad|conflicto|desplazamiento|familia|fuerza|gente|grupos|hijos|masacre|memoria|miedo|mil|militar|personas|presencia|rio|seguridad|situacion|social|sociales|tema|temas|violencia,,,,,,,,,,,
bdi_only,tercero,5,cerrada,0,304,0.0461,17,amenazas|armado|comunidad|conflicto|desplazamiento|familia|fuerza|hijos|masacre|memoria|miedo|mil|personas|responsabilidad|rio|vereda|violencia,,,,,,,,,,,
bdi_only,tercero,6,abierta,0,333,0.0781,20,armado|armados|casos|civil|comunidad|conflicto|decision|estrategia|familia|frente|grupos|miedo|mil|personas|recursos|rio|seguridad|social|sociales|violencia,,,,,,,,,,,
bdi_only,tercero,7,abierta,0,327,0.0581,17,armado|armados|comunidad|conflicto|familia|fuerza|grupos|memoria|miedo|mil|papel|personas|recursos|rio|seguridad|social|violencia,,,,,,,,,,,
bdi_only,tercero,8,abierta,0,321,0.0405,18,armado|armados|comunidad|conflicto|conoci|conocimiento|familia|gente|grupos|justicia|llega|masacre|miedo|mil|responsabilidad|seguridad|situacion|violencia,,,,,,,,,,,
bdi_only,tercero,9,cerrada,0,280,0.0571,18,accion|armado|armados|casos|civil|conflicto|conoci|conocimiento|desplazamiento|grupos|miedo|personas|presencia|rio|seguridad|situacion|violencia|zona,,,,,,,,,,,
bdi_only,tercero,10,confrontativa,0,344,0.0407,11,comunidad|desplazamiento|estado|fuerza|gente|impacto|llega|masacre|pais|proceso|violencia,,,,,,,,,,,
bdi_only,tercero,11,confrontativa,0,360,0.0306,14,accion|armado|armados|comunidad|conflicto|decision|gente|grupos|memoria|miedo|organizacion|organizaciones|personas|rio,,,,,,,,,,,
bdi_only,tercero,12,abierta,0,350,0.0686,15,comunidad|comunidades|conflicto|conoci|familia|gente|impacto|importante|memoria|miedo|mil|muertos|personas|social|violencia,,,,,,,,,,,
bdi_only,tercero,13,abierta,0,289,0.0519,11,comunidad|comunidades|conflicto|estado|justicia|memoria|proceso|rio|sociedad|trabajar|violencia,,,,,,,,,,,
bdi_only,victima,1,cerrada,0,203,0.0985,16,amenazas|comunidad|conflicto|dejaron|desplazamiento|grupos|importante|miedo|militar|momento|paramilitares|paz|recuerdo|tierra|vereda|violencia,,,,,,,,,,,
bdi_only,victima,2,abierta,0,251,0.0717,19,alguien|amenazas|armado|armados|ayuda|comunidad|conflicto|familia|grupos|hicieron|mal|miedo|momento|paz|recuerdo|tierra|trabajo|vereda|violencia,,,,,,,,,,,
bdi_only,victima,3,abierta,0,333,0.0511,21,amenazas|armado|armados|comunidad|cualquier|familia|familiar|hombre|hombres|importante|miedo|militar|momento|paramilitares|paso|recuerdo|rio|vereda|violencia|vivir|zona,,,,,,,,,,,
bdi_only,victima,4,cerrada,0,238,0.0714,16,amenazas|armado|armados|armas|comunidad|gente|grupos|hombre|hombres|miedo|militar|momento|paramilitares|vereda|violencia|zona,,,,,,,,,,,
bdi_only,victima,5,abierta,0,257,0.035,15,campo|comunidad|desplazamiento|duro|familia|familiar|miedo|momento|paso|recuerdo|relacion|rio|territorio|tierra|trabajo,,,,,,,,,,,
bdi_only,victima,6,abierta,0,276,0.0399,18,armado|armados|comunidad|desplazamiento|familia|familiar|gente|grupos|importante|llegamos|miedo|momento|noche|paso|quedaron|recuerdo|tierra|vivir,,,,,,,,,,,
bdi_only,victima,7,abierta,0,326,0.0521,18,comunidad|derechos|desplazamiento|familia|gente|grupos|mientras|momento|oportunidad|personas|quedaron|recuerdo|rio|tierra|trabajo|violencia|vive|vivir,,,,,,,,,,,
bdi_only,victima,8,abierta,0,268,0.0299,9,ayuda|comunidad|conflicto|denuncia|desplazamiento|miedo|tema|violencia|vivido,,,,,,,,,,,
bdi_only,victima,9,abierta,0,337,0.0326,13,comunidad|cultivos|familia|familiar|hijo|hijos|miedo|mientras|personas|relacion|rio|tierra|vivido,,,,,,,,,,,
bdi_only,victima,10,confrontativa,0,304,0.0493,17,amenazas|armado|armados|comunidad|familia|familiar|familias|grupos|hicieron|importante|miedo|momento|recuerdo|rio|territorio|tierra|vivir,,,,,,,,,,,
bdi_only,victima,11,confrontativa,0,289,0.0727,11,alguien|armado|armados|comunidad|derechos|grupos|importante|oportunidad|personas|tierra|violencia,,,,,,,,,,,
bdi_only,victima,12,confrontativa,0,283,0.0671,15,amenazas|armado|armados|comunidad|conflicto|familia|familias|grupos|miedo|personas|verdad|violencia|vive|vivir|zona,,,,,,,,,,,
bdi_only,victima,13,abierta,0,300,0.05,13,comunidad|comunidades|contar|derechos|oportunidad|paso|personas|relacion|rio|social|verdad|vivido|vivir,,,,,,,,,,,
bdi_only,victimario,1,abierta,0,189,0.037,6,comunidad|momento|proceso|toma|unidad|violencia,,,,,,,,,,,
bdi_only,victimario,2,abierta,0,188,0.0372,6,frente|grupo|momento|reclutamiento|unidad|violencia,,,,,,,,,,,
bdi_only,victimario,3,cerrada,0,161,0.0435,7,combatiente|conflicto|frente|grupo|mando|operacion|operaciones,,,,,,,,,,,
